,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Voting,Voting,Voting,Voting,Unnamed: 8_level_0,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Joel Embiid,28,PHI,73,915,1000,0.915,66,34.6,33.1,10.2,4.2,1.0,1.7,0.548,0.33,0.857,12.3,0.259
1,2,Nikola Jokić,27,DEN,15,674,1000,0.674,69,33.7,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.822,14.9,0.308
2,3,Giannis Antetokounmpo,28,MIL,12,606,1000,0.606,63,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,8.6,0.204
3,4,Jayson Tatum,24,BOS,0,280,1000,0.28,74,36.9,30.1,8.8,4.6,1.1,0.7,0.466,0.35,0.854,10.5,0.185
4,5,Shai Gilgeous-Alexander,24,OKC,0,46,1000,0.046,68,35.5,31.4,4.8,5.5,1.6,1.0,0.51,0.345,0.905,11.4,0.226
5,6,Donovan Mitchell,26,CLE,0,30,1000,0.03,68,35.8,28.3,4.3,4.4,1.5,0.4,0.484,0.386,0.867,8.9,0.176
6,7,Domantas Sabonis,26,SAC,0,27,1000,0.027,79,34.6,19.1,12.3,7.3,0.8,0.5,0.615,0.373,0.742,12.6,0.221
7,8,Luka Dončić,23,DAL,0,10,1000,0.01,66,36.2,32.4,8.6,8.0,1.4,0.5,0.496,0.342,0.742,10.2,0.204
8,9,Stephen Curry,34,GSW,0,5,1000,0.005,56,34.7,29.4,6.1,6.3,0.9,0.4,0.493,0.427,0.915,7.8,0.192
9,10,Jimmy Butler,33,MIA,0,3,1000,0.003,64,33.4,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85,12.3,0.277
10,11,De'Aaron Fox,25,SAC,0,2,1000,0.002,73,33.4,25.0,4.2,6.1,1.1,0.3,0.512,0.324,0.78,7.4,0.146
11,12T,Jalen Brunson,26,NYK,0,1,1000,0.001,68,35.0,24.0,3.5,6.2,0.9,0.2,0.491,0.416,0.829,8.7,0.175
12,12T,Ja Morant,23,MEM,0,1,1000,0.001,61,31.9,26.2,5.9,8.1,1.1,0.3,0.466,0.307,0.748,6.0,0.148
